0,Ottawa,Ontario,Canada,Yes,-75.69812,45.41117,capital of a political entity,Ottawa ON,812129
1,Hull,Quebec,Canada,Yes,-75.83265,45.5001,area,Hull QC,0
2,Grand Forks,British Columbia,Canada,Yes,-118.4356,49.03309,populated place,Grand Forks BC,4208
3,Wellington,British Columbia,Canada,Yes,-124.0299,49.21025,area,Wellington BC,0
4,Cranberry,British Columbia,Canada,Yes,-124.52565,49.87522,populated place,Cranberry BC,0
5,Fernie,British Columbia,Canada,Yes,-115.06871,49.49996,populated place,Fernie BC,5019
6,Frank,Alberta,Canada,Yes,-114.402,49.60002,area,Frank AB,0
7,Edmonton,Alberta,Canada,Yes,-113.46871,53.55014,seat of a first-order administrative division,Edmonton AB,712391
8,Calgary,Alberta,Canada,Yes,-114.08529,51.05011,populated place,Calgary AB,1019942
9,Upper Arrow Lake,British Columbia,Canada,Yes,-117.92917,50.50972,lake,Upper Arrow Lake BC,0
10,Greater Toronto Area,Ontario,Canada,Yes,-79.26636,43.75919,area,Toronto ON,6000000
11,Red Deer River Provincial Park,Manitoba,Canada,Yes,-101.02647,52.89116,park,Red River MB,0
12,Halifax,Nova Scotia,Canada,Yes,-63.57239,44.64533,seat of a first-order administrative division,Nova Scotia,359111
13,Sydney,Nova Scotia,Canada,Yes,-60.1831,46.1351,populated place,Nova Scotia,105968
14,Halifax Stanfield International Airport,Nova Scotia,Canada,Yes,-63.51171,44.88392,airport,Nova Scotia,0
15,Spences Bridge,British Columbia,Canada,Yes,-121.34296,50.4223,populated place,Spences Bridge BC,0
16,Vancouver Island,British Columbia,Canada,Yes,-125.44939,49.65064,island,Vancouver Island (BC),740876
17,Montreal,Quebec,Canada,Yes,-73.58781,45.50884,seat of a second-order administrative division,Quebec City QC,1600000
18,Notre-Dame-de-la-Salette,Quebec,Canada,Yes,-75.58263,45.7668,populated place,Notre-Dame-de-la-Salette QC,0
19,Chester,New Brunswick,Canada,Yes,-65.56006,45.35379,populated place,Chester NB,0
20,Burnaby,British Columbia,Canada,Yes,-122.95263,49.26636,populated place,Burnaby BC,202799
21,New Westminster,British Columbia,Canada,Yes,-122.91092,49.20678,populated place,New Westminster BC,58549
22,Red Deer,Alberta,Canada,Yes,-113.802,52.26682,populated place,Alberta,73593
23,Saskatoon,Saskatchewan,Canada,Yes,-106.66892,52.13238,populated place,Saskatchewan,198958
24,Regina,Saskatchewan,Canada,Yes,-104.6178,50.45008,seat of a first-order administrative division,Saskatchewan,176183
25,Prince Albert,Saskatchewan,Canada,Yes,-105.76772,53.20008,populated place,Saskatchewan,34609
26,Winnipeg,Manitoba,Canada,Yes,-97.14704,49.8844,seat of a first-order administrative division,Manitoba,632063
27,Lake Winnipeg,Manitoba,Canada,Yes,-97.26176,52.13191,lake,Manitoba,0
28,Lake Manitoba,Manitoba,Canada,Yes,-98.80075,50.98332,lake,Manitoba,0
29,Spanish River Provincial Park,Ontario,Canada,Yes,-81.8165,46.91678,park,Spanish River ON,0
30,Rogers Pass,British Columbia,Canada,Yes,-117.51893,51.29991,pass,Rogers Pass BC,0
31,Coucoucache,Quebec,Canada,Yes,-73.23241,47.75009,reservation,Coucoucache QC,0
32,Cochrane District,Ontario,Canada,Yes,-82.99979,50.00022,second-order administrative division,Cochrane ON,0
34,Roland-Désourdy Airport,Quebec,Canada,Yes,-72.7414,45.2908,airport,Eastern Canada,0
35,Great Lakes,,United States,No,-84.43753,45.68751,lake,Lakes Huron,0
36,Fort Erie,Ontario,Canada,Yes,-78.93286,42.90012,populated place, Erie,15953
37,Toronto,Ontario,Canada,Yes,-79.4163,43.70011,seat of a first-order administrative division,Ontario,2600000
38,Lower Coast,Newfoundland and Labrador,Canada,Yes,-53.38143,46.71659,populated locality,Newfoundland coast,0
39,St. John's,Newfoundland and Labrador,Canada,Yes,-52.70931,47.56494,seat of a first-order administrative division,Labrador,99182
40,Cartwright Airport,Newfoundland and Labrador,Canada,Yes,-57.03787,53.6844,airport,Labrador,0
41,Nain Airport,Newfoundland and Labrador,Canada,Yes,-61.68308,56.54981,airport,Labrador,0
42,St. Lawrence River,Quebec,Canada,Yes,-64.49869,49.66683,stream,St. Lawrence River QC,0
43,Hillcrest,Alberta,Canada,Yes,-114.38529,49.58332,populated locality,Hillcrest AB,0
44,Nanaimo,British Columbia,Canada,Yes,-123.94003,49.16638,populated place,Nanaimo BC,84905
45,Duncan,British Columbia,Canada,Yes,-123.70266,48.78293,populated place,Duncan BC,22199
46,HVDC Vancouver-Island - North Cowichan Static Inverter Plant,British Columbia,Canada,Yes,-123.71499,48.82743,power station,North Cowichan (Vancouver Island) BC,0
47,Black River-Matheson,Ontario,Canada,Yes,-80.33303,48.45017,third-order administrative division,Matheson ON,0
48,New Waterford,Nova Scotia,Canada,Yes,-60.08175,46.25014,populated place,New Waterford NS,0
49,Saint John,New Brunswick,Canada,Yes,-66.06766,45.27271,populated place,New Brunswick,87857
50,Moncton,New Brunswick,Canada,Yes,-64.7965,46.09454,populated place,New Brunswick,87467
51,Fredericton,New Brunswick,Canada,Yes,-66.66558,45.94541,seat of a first-order administrative division,New Brunswick,52337
52,Dartmouth,Nova Scotia,Canada,Yes,-63.57719,44.67134,populated place,Dartmouth NS,101343
53,Pictou County,Nova Scotia,Canada,Yes,-62.58193,45.50015,second-order administrative division,Pictou County NS,0
54,CFB Trenton,Ontario,Canada,Yes,-77.52806,44.11889,airport,Trenton ON,0
55,Lower Mainland,British Columbia,Canada,Yes,-122.35,49.08333,area,British Columbia,2524113
56,Vancouver,British Columbia,Canada,Yes,-123.11934,49.24966,populated place,British Columbia,600000
57,Angel Peak,British Columbia,Canada,Yes,-124.85859,58.48553,peak,British Columbia,0
58,Inner Seas off the West Coast of Scotland,,,No,-10.45898,56.71657,sea, off coast,0
59,Icelandic River,Manitoba,Canada,Yes,-96.96066,51.02781,stream,Icelandic River MB,0
60,Fisher River 44,Manitoba,Canada,Yes,-97.35488,51.43281,reservation,Fisher River MB,0
61,Saint John River,New Brunswick,Canada,Yes,-66.06525,45.26664,stream,Saint John River NB,0
62,Woodstock,New Brunswick,Canada,Yes,-67.58377,46.15796,populated place,Woodstock NB,0
63,Canning,Nova Scotia,Canada,Yes,-64.4252,45.15792,populated place,Canning NS,0
64,Réserve de Waswanipi,Quebec,Canada,Yes,-76.24935,50.25019,reserve,Waswanipi reserve QC,0
65,Grand Falls-Windsor,Newfoundland and Labrador,Canada,Yes,-55.66492,48.93324,populated place,Grand Falls NL,12076
66,Upper Gagetown,New Brunswick,Canada,Yes,-66.23216,45.85013,area,Upper Gagetown NB,0
67,Burton,New Brunswick,Canada,Yes,-66.44855,45.86153,populated place,Burton NB,0
68,St. Clair Lake,Ontario,Canada,Yes,-84.05096,47.23418,lake,Lake St. Clair ON,0
