date_key,month,day,year,weekend,season_canada
1,26,4,00,no,spring,spring
2,26,4,00,no,spring,spring
3,1,1,01,no,winter,winter
4,1,1,02,no,winter,winter
5,1,3,02,no,winter,winter
6,1,3,02,no,winter,winter
7,22,5,02,no,spring,spring
8,22,5,02,no,spring,spring
9,1,1,03,no,winter,winter
10,29,4,03,no,spring,spring
11,29,4,03,no,spring,spring
12,1,1,04,no,winter,winter
13,1,9,92,no,summer,summer
14,1,9,92,no,summer,summer
15,17,7,95,no,summer,summer
16,17,7,95,no,summer,summer
17,28,2,03,no,winter,winter
18,28,2,03,no,winter,winter
19,19,4,04,no,spring,spring
20,19,4,04,no,spring,spring
21,24,4,04,yes,spring,spring
22,24,4,04,yes,spring,spring
23,15,2,05,no,winter,winter
24,17,2,05,no,winter,winter
25,13,8,05,yes,summer,summer
26,13,8,05,yes,summer,summer
27,1,1,06,yes,winter,winter
28,29,8,07,no,summer,summer
29,29,8,07,no,summer,summer
30,26,4,08,yes,spring,spring
31,26,4,08,yes,spring,spring
32,1,8,08,no,summer,summer
33,3,8,08,yes,summer,summer
34,4,1,09,yes,winter,winter
35,4,1,09,yes,winter,winter
36,28,11,09,yes,fall,fall
37,28,11,09,yes,fall,fall
38,1,1,10,no,winter,winter
39,21,1,10,no,winter,winter
40,21,1,10,no,winter,winter
41,5,3,10,no,spring,spring
42,5,3,10,no,spring,spring
43,15,4,10,no,spring,spring
44,15,4,10,no,spring,spring
45,18,4,10,yes,spring,spring
46,18,4,10,yes,spring,spring
47,11,7,11,no,summer,summer
48,11,7,11,no,summer,summer
49,30,6,12,yes,summer,summer
50,30,6,12,yes,summer,summer
51,8,7,12,yes,summer,summer
52,10,7,12,no,summer,summer
53,7,11,13,no,fall,fall
54,13,11,13,no,fall,fall
55,1,1,14,no,winter,winter
56,1,4,14,no,spring,spring
57,1,4,14,no,spring,spring
58,28,5,14,no,spring,spring
59,28,5,14,no,spring,spring
60,19,6,14,no,spring,spring
61,19,6,14,no,spring,spring
62,1,1,15,no,winter,winter
63,1,2,15,yes,winter,winter
64,1,2,15,yes,winter,winter
65,22,3,15,yes,spring,spring
66,22,3,15,yes,spring,spring
67,8,7,15,no,summer,summer
68,9,7,15,no,summer,summer
69,3,2,16,no,winter,winter
70,3,2,16,no,winter,winter
71,24,4,16,yes,spring,spring
72,24,4,16,yes,spring,spring
73,29,7,16,no,summer,summer
74,29,7,16,no,summer,summer
75,11,9,16,yes,summer,summer
76,11,9,16,yes,summer,summer
77,1,1,17,yes,winter,winter
78,25,7,17,no,summer,summer
79,25,7,17,no,summer,summer
80,28,10,17,yes,fall,fall
81,19,11,17,yes,fall,fall
82,6,12,17,no,winter,winter
83,6,12,17,no,winter,winter
84,1,1,18,no,winter,winter
85,1,1,25,no,winter,winter
86,31,12,18,no,winter,winter
87,23,1,18,no,winter,winter
88,23,1,18,no,winter,winter
89,12,10,18,no,fall,fall
90,12,10,18,no,fall,fall
91,23,10,18,no,fall,fall
92,23,10,18,no,fall,fall
93,1,1,19,no,winter,winter
94,31,12,19,no,winter,winter
95,1,1,20,no,winter,winter
96,31,12,20,no,winter,winter
97,17,3,20,no,winter,winter
98,21,3,20,yes,spring,spring
99,22,7,20,no,summer,summer
100,22,7,20,no,summer,summer
101,1,4,86,no,spring,spring
102,30,6,86,no,summer,summer
103,1,4,86,no,spring,spring
104,4,4,86,no,spring,spring
105,29,5,86,no,spring,spring
106,29,5,86,no,spring,spring
107,30,5,86,no,spring,spring
108,30,5,86,no,spring,spring
109,2,6,86,no,spring,spring
110,2,6,86,no,spring,spring
111,14,5,86,no,spring,spring
112,15,5,86,no,spring,spring
113,15,5,86,no,spring,spring
114,16,5,86,no,spring,spring
115,15,5,86,no,spring,spring
116,16,5,86,no,spring,spring
117,4,4,87,yes,spring,spring
118,16,7,86,no,summer,summer
119,24,7,86,no,summer,summer
120,26,10,86,yes,fall,fall
121,26,10,86,yes,fall,fall
122,7,11,86,no,fall,fall
123,7,11,86,no,fall,fall
124,29,5,87,no,spring,spring
125,29,5,87,no,spring,spring
126,6,7,87,no,summer,summer
127,6,7,87,no,summer,summer
128,14,7,87,no,summer,summer
129,14,7,87,no,summer,summer
130,1,10,87,no,fall,fall
131,1,10,87,no,fall,fall
132,1,1,88,no,winter,winter
133,31,7,87,no,summer,summer
134,31,7,87,no,summer,summer
135,7,3,88,no,spring,spring
136,7,3,88,no,spring,spring
137,1,4,88,no,spring,spring
138,1,4,88,no,spring,spring
139,8,5,88,yes,spring,spring
140,8,5,88,yes,spring,spring
141,10,5,88,no,spring,spring
142,10,5,88,no,spring,spring
143,24,5,88,no,spring,spring
144,24,5,88,no,spring,spring
145,4,6,88,yes,summer,summer
146,11,6,88,yes,spring,spring
147,20,6,88,no,spring,spring
148,20,6,88,no,spring,spring
149,28,6,88,no,summer,summer
150,29,6,88,no,summer,summer
151,29,6,88,no,summer,summer
152,29,6,88,no,summer,summer
153,5,7,88,no,summer,summer
154,11,7,88,no,summer,summer
155,17,12,88,yes,fall,fall
156,17,12,88,yes,fall,fall
157,5,7,88,no,summer,summer
158,8,7,88,no,summer,summer
159,16,8,88,no,summer,summer
160,16,8,88,no,summer,summer
161,25,11,88,no,fall,fall
162,25,11,88,no,fall,fall
163,23,8,88,no,summer,summer
164,23,8,88,no,summer,summer
165,1,1,89,yes,winter,winter
166,30,1,89,no,winter,winter
167,30,1,89,no,winter,winter
168,10,3,89,no,winter,winter
169,10,3,89,no,winter,winter
