data_key,month,day,year,weekend,season_canada
1,4,26,00,no,spring
2,1,1,01,no,winter
3,1,1,01,no,winter
4,1,1,02,no,winter
5,3,1,02,no,winter
6,5,22,02,no,spring
7,1,1,03,no,winter
8,4,29,03,no,spring
9,1,1,04,no,winter
10,9,1,92,no,summer
11,7,17,95,yes,summer
12,2,28,03,no,winter
13,4,19,04,no,spring
14,4,24,04,yes,spring
15,2,17,05,no,winter
16,8,13,05,yes,summer
17,1,1,06,yes,winter
18,8,29,07,no,summer
19,4,26,08,yes,spring
20,8,3,08,yes,summer
21,1,4,09,yes,winter
22,11,28,09,yes,fall
23,1,1,10,no,winter
24,1,21,10,no,winter
25,3,5,10,no,spring
26,4,15,10,no,spring
27,4,18,10,yes,spring
28,7,11,11,no,summer
29,6,30,12,yes,summer
30,7,10,12,no,summer
31,11,13,13,no,fall
32,1,1,14,no,winter
33,1,1,14,no,winter
34,4,1,14,no,spring
35,5,28,14,no,spring
36,6,19,14,no,spring
37,1,1,15,no,winter
38,1,1,15,no,winter
39,2,1,15,yes,winter
40,3,22,15,yes,spring
41,7,9,15,no,summer
42,2,3,16,no,winter
43,4,24,16,yes,spring
44,7,29,16,no,summer
45,9,11,16,yes,summer
46,1,1,17,yes,winter
47,1,1,17,yes,winter
48,7,25,17,no,summer
49,11,19,17,yes,fall
50,12,6,17,no,winter
51,1,1,25,no,winter
52,12,31,18,no,winter
53,1,23,18,no,winter
54,10,12,18,no,fall
55,10,23,18,no,fall
56,12,31,19,no,winter
57,12,31,20,no,winter
58,3,21,20,yes,spring
59,7,22,20,no,summer
60,6,30,86,yes,summer
61,4,4,86,no,spring
62,5,29,86,no,spring
63,5,30,86,no,spring
64,6,2,86,yes,spring
65,5,15,86,no,spring
66,5,16,86,no,spring
67,5,16,86,no,spring
68,4,4,87,no,spring
69,7,24,86,no,summer
70,10,26,86,yes,fall
71,11,7,86,no,fall
72,5,29,87,no,spring
73,7,6,87,yes,summer
74,7,14,87,no,summer
75,10,1,87,no,fall
76,1,1,88,no,winter
77,7,31,87,no,summer
78,1,1,88,no,winter
79,1,1,88,no,winter
80,3,7,88,yes,spring
81,4,1,88,no,spring
82,5,8,88,yes,spring
83,5,10,88,no,spring
84,5,24,88,no,spring
85,6,11,88,no,spring
86,6,20,88,yes,spring
87,6,29,88,no,summer
88,6,29,88,no,summer
89,7,11,88,yes,summer
90,12,17,88,no,fall
91,7,8,88,no,summer
92,8,16,88,no,summer
93,11,25,88,no,fall
94,8,23,88,no,summer
95,1,1,89,yes,winter
96,1,1,89,yes,winter
97,1,1,89,yes,winter
98,1,1,89,yes,winter
99,1,1,89,yes,winter
100,1,30,89,yes,winter
101,3,10,89,no,winter
102,7,1,89,no,summer
103,5,9,89,no,spring
104,9,20,89,no,summer
105,7,22,89,no,summer
106,9,10,89,yes,summer
107,9,12,89,no,summer
108,9,29,89,no,fall
109,10,2,89,yes,fall
110,11,12,89,yes,fall
111,12,7,89,no,winter
112,12,12,89,no,fall
113,12,25,89,yes,winter
114,12,9,90,yes,winter
115,1,1,90,yes,winter
116,7,9,90,yes,summer
117,7,20,90,no,summer
118,7,23,90,yes,summer
119,5,30,10,yes,spring
120,1,17,90,no,winter
121,2,11,90,yes,winter
122,2,28,90,no,winter
123,2,23,90,no,winter
124,3,19,90,yes,winter
125,4,23,90,yes,spring
126,3,27,91,no,spring
127,5,19,90,no,spring
128,7,4,90,no,summer
129,8,1,90,no,summer
130,8,1,90,no,summer
131,8,29,90,no,summer
132,6,12,90,no,spring
133,9,26,90,no,fall
134,11,13,90,no,fall
135,12,16,90,yes,fall
136,6,17,10,no,spring
137,1,1,91,no,winter
138,1,11,91,no,winter
139,3,12,91,no,winter
140,4,1,91,yes,spring
141,4,8,91,yes,spring
142,5,1,91,no,spring
143,5,9,91,no,spring
144,6,29,91,no,summer
145,7,3,91,no,summer
146,7,10,91,no,summer
147,7,11,91,no,summer
148,7,22,91,yes,summer
149,7,22,91,yes,summer
150,8,5,91,yes,summer
151,8,19,91,yes,summer
152,8,27,91,no,summer
153,9,1,91,yes,summer
154,9,7,91,no,fall
155,9,26,91,no,fall
156,10,1,91,no,fall
157,10,8,91,no,fall
158,10,16,91,no,fall
159,11,3,91,yes,fall
160,10,14,91,yes,fall
161,11,20,91,no,fall
162,11,30,91,no,fall
163,12,6,91,no,winter
164,1,1,92,no,winter
165,1,1,92,no,winter
166,1,21,92,no,winter
167,2,4,92,no,winter
168,2,16,92,yes,winter
169,8,28,92,no,summer
170,8,28,92,no,summer
171,1,31,92,no,winter
172,3,4,92,no,spring
173,3,12,92,no,winter
174,3,13,92,no,winter
175,3,19,92,no,winter
176,3,26,92,no,spring
177,4,25,92,no,spring
178,5,9,92,no,spring
179,5,18,92,yes,spring
180,5,25,92,yes,spring
181,1,1,92,no,winter
