"year","season_canada","disaster_group","total_count"
1900,"spring","Technology","2"
1901,"winter","Technology","2"
1902,"spring","Technology","1"
1902,"winter","Technology","1"
1903,"winter","Technology","1"
1904,"spring","Technology","1"
1906,"winter","Technology","1"
1907,"summer","Technology","1"
1908,"summer","Technology","1"
1910,"winter","Technology","1"
1914,"spring","Technology","2"
1915,"winter","Technology","2"
1916,"summer","Technology","1"
1916,"winter","Technology","1"
1917,"fall","Technology","2"
1917,"summer","Technology","1"
1917,"winter","Technology","1"
1918,"fall","Technology","3"
1918,"winter","Technology","1"
1921,"winter","Technology","2"
1922,"winter","Technology","1"
1923,"winter","Technology","1"
1927,"winter","Technology","1"
1930,"winter","Technology","2"
1936,"summer","Technology","1"
1936,"spring","Technology","1"
1938,"fall","Technology","2"
1939,"winter","Technology","1"
1942,"winter","Technology","1"
1943,"fall","Technology","1"
1943,"summer","Technology","1"
1945,"summer","Technology","1"
1946,"summer","Technology","1"
1947,"summer","Technology","1"
1949,"summer","Technology","1"
1950,"fall","Technology","1"
1950,"winter","Technology","3"
1951,"winter","Technology","1"
1952,"winter","Technology","1"
1954,"spring","Technology","1"
1956,"fall","Technology","1"
1957,"summer","Technology","1"
1957,"winter","Technology","1"
1958,"fall","Technology","2"
1958,"spring","Technology","1"
1959,"winter","Technology","1"
1960,"winter","Technology","2"
1963,"fall","Technology","1"
1963,"spring","Technology","2"
1965,"summer","Technology","1"
1965,"winter","Technology","1"
1966,"winter","Technology","4"
1967,"winter","Technology","2"
1969,"fall","Technology","1"
1969,"winter","Technology","1"
1970,"summer","Technology","1"
1974,"fall","Technology","1"
1976,"winter","Technology","2"
1977,"winter","Technology","1"
1978,"summer","Technology","1"
1978,"spring","Technology","1"
1978,"winter","Technology","2"
1979,"fall","Technology","1"
1979,"spring","Technology","1"
1979,"winter","Technology","2"
1980,"summer","Technology","1"
1980,"spring","Technology","1"
1980,"winter","Technology","1"
1981,"spring","Technology","1"
1982,"winter","Technology","3"
1983,"spring","Technology","2"
1983,"winter","Technology","1"
1984,"winter","Technology","1"
1985,"fall","Technology","1"
1985,"winter","Technology","1"
1986,"fall","Technology","2"
1986,"spring","Technology","2"
1986,"winter","Technology","2"
1987,"fall","Technology","2"
1988,"fall","Technology","1"
1988,"summer","Technology","1"
1988,"spring","Technology","3"
1988,"winter","Technology","1"
1989,"fall","Technology","2"
1989,"summer","Technology","1"
1989,"winter","Technology","4"
1990,"summer","Technology","1"
1990,"spring","Technology","2"
1990,"winter","Technology","2"
1991,"fall","Technology","3"
1991,"summer","Technology","4"
1991,"spring","Technology","1"
1991,"winter","Technology","1"
1992,"fall","Technology","1"
1992,"spring","Technology","3"
1992,"winter","Technology","5"
1993,"fall","Technology","2"
1993,"summer","Technology","1"
1993,"spring","Technology","1"
1994,"fall","Technology","2"
1994,"spring","Technology","1"
1995,"fall","Technology","1"
1995,"summer","Technology","1"
1995,"winter","Technology","1"
1997,"summer","Technology","1"
1998,"summer","Technology","2"
1999,"summer","Technology","5"
1999,"spring","Technology","1"
1999,"winter","Technology","2"
2000,"fall","Technology","1"
2000,"summer","Technology","1"
2002,"fall","Technology","1"
2002,"summer","Technology","3"
2002,"spring","Technology","3"
2003,"summer","Technology","3"
2004,"summer","Technology","1"
2005,"fall","Technology","2"
2006,"summer","Technology","3"
2007,"summer","Technology","2"
2007,"spring","Technology","2"
2008,"summer","Technology","2"
2011,"summer","Technology","1"
2012,"winter","Technology","1"
2014,"summer","Technology","1"
2015,"summer","Technology","1"
2015,"spring","Technology","2"
2015,"winter","Technology","1"
2016,"fall","Technology","1"
2016,"summer","Technology","2"
