"year","disaster_group","total_count"
2016,"Technology","3"
2015,"Technology","4"
2014,"Technology","1"
2012,"Technology","1"
2011,"Technology","1"
2008,"Technology","2"
2007,"Technology","4"
2006,"Technology","3"
2005,"Technology","2"
2004,"Technology","1"
2003,"Technology","3"
2002,"Technology","7"
2000,"Technology","2"
1999,"Technology","8"
1998,"Technology","2"
1997,"Technology","1"
1995,"Technology","3"
1994,"Technology","3"
1993,"Technology","4"
1992,"Technology","9"
1991,"Technology","9"
1990,"Technology","5"
1989,"Technology","7"
1988,"Technology","6"
1987,"Technology","2"
1986,"Technology","6"
1985,"Technology","2"
1984,"Technology","1"
1983,"Technology","3"
1982,"Technology","3"
1981,"Technology","1"
1980,"Technology","3"
1979,"Technology","4"
1978,"Technology","4"
1977,"Technology","1"
1976,"Technology","2"
1974,"Technology","1"
1970,"Technology","1"
1969,"Technology","2"
1967,"Technology","2"
1966,"Technology","4"
1965,"Technology","2"
1963,"Technology","3"
1960,"Technology","2"
1959,"Technology","1"
1958,"Technology","3"
1957,"Technology","2"
1956,"Technology","1"
1954,"Technology","1"
1952,"Technology","1"
1951,"Technology","1"
1950,"Technology","4"
1949,"Technology","1"
1947,"Technology","1"
1946,"Technology","1"
1945,"Technology","1"
1943,"Technology","2"
1942,"Technology","1"
1939,"Technology","1"
1938,"Technology","2"
1936,"Technology","2"
1930,"Technology","2"
1927,"Technology","1"
1923,"Technology","1"
1922,"Technology","1"
1921,"Technology","2"
1918,"Technology","4"
1917,"Technology","4"
1916,"Technology","2"
1915,"Technology","2"
1914,"Technology","2"
1910,"Technology","1"
1908,"Technology","1"
1907,"Technology","1"
1906,"Technology","1"
1904,"Technology","1"
1903,"Technology","1"
1902,"Technology","2"
1901,"Technology","2"
1900,"Technology","2"
