"country","province","city","total_fatalities"
"Canada","Alberta","Banff","4"
"Canada","Alberta","Calgary","2"
"Canada","Alberta","Clearwater County","0"
"Canada","Alberta","Conklin","0"
"Canada","Alberta","Edmonton","0"
"Canada","Alberta","Grande Prairie","0"
"Canada","Alberta","Kinsella","4"
"Canada","Alberta","Lesser Slave Lake Settlement","0"
"Canada","Alberta","Lethbridge","0"
"Canada","Alberta","Peace River","0"
"Canada","Alberta","Peerless Lake","0"
"Canada","Alberta","Pine Lake","12"
"Canada","Alberta","Poplar Bay","0"
"Canada","Alberta","Red Deer","3"
"Canada","Alberta","Swan Hills","0"
"Canada","Alberta","Trout Lake","0"
"Canada","Alberta","Wood Buffalo National Park of Canada","0"
"Canada","British Columbia","Abbotsford",""
"Canada","British Columbia","Angel Peak","2"
"Canada","British Columbia","Chetwynd","0"
"Canada","British Columbia","Fernie","0"
"Canada","British Columbia","Glacier National Park of Canada","1"
"Canada","British Columbia","Hummingbird Creek","0"
"Canada","British Columbia","Joe Rich Creek","7"
"Canada","British Columbia","Kelowna","0"
"Canada","British Columbia","Khyex River","0"
"Canada","British Columbia","Lower Mainland","14"
"Canada","British Columbia","Nanaimo","0"
"Canada","British Columbia","Nechako River Bird Sanctuary","0"
"Canada","British Columbia","Passmore","0"
"Canada","British Columbia","Rogers Pass","6"
"Canada","British Columbia","Salmon Arm","0"
"Canada","British Columbia","Sturdee",""
"Canada","British Columbia","Taylor","0"
"Canada","British Columbia","Terrace","0"
"Canada","British Columbia","Vancouver","3"
"Canada","British Columbia","Vancouver Harbour SPB","0"
"Canada","British Columbia","Vancouver Island","2"
"Canada","British Columbia","Vernon","0"
"Canada","British Columbia","White Rock","0"
"Canada","Manitoba","Assiniboine Corridor Wildlife Management Area","0"
"Canada","Manitoba","Assiniboine River","0"
"Canada","Manitoba","Brookdale",""
"Canada","Manitoba","Cross Lake (Charlie Sinclair Memorial) Airport","0"
"Canada","Manitoba","Lake Manitoba","0"
"Canada","Manitoba","Lake Winnipeg","0"
"Canada","Manitoba","Melita","0"
"Canada","Manitoba","Niverville","0"
"Canada","Manitoba","Oakville","0"
"Canada","Manitoba","Pembina River Diversion","0"
"Canada","Manitoba","Portage la Prairie","0"
"Canada","Manitoba","Red Deer River Provincial Park","0"
"Canada","Manitoba","Red Sucker Lake Airport","0"
"Canada","Manitoba","Seymourville","0"
"Canada","Manitoba","Souris River","0"
"Canada","Manitoba","St-Lazare","0"
"Canada","Manitoba","Swan River","0"
"Canada","Manitoba","The Pas",""
"Canada","Manitoba","Winnipeg","0"
"Canada","New Brunswick","Bay of Fundy","0"
"Canada","New Brunswick","Edmundston","1"
"Canada","New Brunswick","Moncton",""
"Canada","New Brunswick","Plaster Rock","0"
"Canada","New Brunswick","Saint John","37"
"Canada","New Brunswick","Saint John River","0"
"Canada","New Brunswick","Wolfe Lake",""
