"country","province","total_fatalities"
"Canada","Alberta","25"
"Canada","British Columbia","35"
"Canada","Manitoba","0"
"Canada","New Brunswick","38"
"Canada","Newfoundland and Labrador","0"
"Canada","Northwest Territories","9"
"Canada","Nova Scotia","273"
"Canada","Ontario","205"
"Canada","Prince Edward Island","26"
"Canada","Quebec","227"
"Canada","Saskatchewan","0"
"Canada","Yukon","0"
"France","Centre-Val de Loire","0"
"Saint Pierre and Miquelon","","21"
"Saudi Arabia","Makkah","261"
"United States","Alaska","24"
"United States","Florida",""
"United States","Indiana","6"
"United States","New York","48"
"United States","Oklahoma",""
